Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/runner/work/future/future/workspaces/glasshouse-terminus/output/g4-coast-r05/g4-full-scene-candidate.blend"
Fra:451 Mem:613.13M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_entry_step
Fra:451 Mem:613.16M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_entry_step.004
Fra:451 Mem:613.19M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.005
Fra:451 Mem:613.19M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.013
Fra:451 Mem:613.20M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.018
Fra:451 Mem:613.21M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.033
Fra:451 Mem:613.22M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_entry_step.005
Fra:451 Mem:613.25M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post
Fra:451 Mem:613.26M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.002
Fra:451 Mem:613.26M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.012
Fra:451 Mem:613.27M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.025
Fra:451 Mem:613.28M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.032
Fra:451 Mem:613.29M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_entry_step.006
Fra:451 Mem:613.31M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.004
Fra:451 Mem:613.32M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.011
Fra:451 Mem:613.33M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.024
Fra:451 Mem:613.34M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.026
Fra:451 Mem:613.34M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Terrace_guard_post.031
Fra:451 Mem:613.35M (Peak 840.08M) | Time:00:02.91 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Hall_plinth
