Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Fra:1 Mem:43.19M (Peak 43.21M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.013
Fra:1 Mem:43.20M (Peak 43.21M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.014
Fra:1 Mem:43.21M (Peak 43.21M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.015
Fra:1 Mem:43.22M (Peak 43.22M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_petiole.002
Fra:1 Mem:43.22M (Peak 43.22M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_midrib.002
Fra:1 Mem:43.26M (Peak 43.26M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.014
Fra:1 Mem:43.25M (Peak 43.26M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.015
Fra:1 Mem:43.27M (Peak 43.27M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.016
Fra:1 Mem:43.30M (Peak 43.30M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.017
Fra:1 Mem:43.30M (Peak 43.30M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.016
Fra:1 Mem:43.31M (Peak 43.31M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.018
Fra:1 Mem:43.36M (Peak 43.36M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.019
Fra:1 Mem:43.33M (Peak 43.36M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.017
Fra:1 Mem:43.34M (Peak 43.36M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.020
Fra:1 Mem:43.37M (Peak 43.37M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.021
Fra:1 Mem:43.35M (Peak 43.37M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.022
Fra:1 Mem:43.36M (Peak 43.37M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.023
Fra:1 Mem:43.38M (Peak 43.38M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_petiole.003
Fra:1 Mem:43.38M (Peak 43.38M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.018
Fra:1 Mem:43.37M (Peak 43.38M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.019
Fra:1 Mem:43.39M (Peak 43.39M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_midrib.003
Fra:1 Mem:43.43M (Peak 43.43M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.024
Fra:1 Mem:43.46M (Peak 43.46M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.025
Fra:1 Mem:43.44M (Peak 43.46M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.020
Fra:1 Mem:43.45M (Peak 43.46M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.026
Fra:1 Mem:43.47M (Peak 43.47M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.021
Fra:1 Mem:43.47M (Peak 43.47M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.027
Fra:1 Mem:43.51M (Peak 43.51M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.028
Fra:1 Mem:43.52M (Peak 43.52M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.029
Fra:1 Mem:43.49M (Peak 43.52M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.022
Fra:1 Mem:43.50M (Peak 43.52M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.030
Fra:1 Mem:43.54M (Peak 43.54M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.031
Fra:1 Mem:43.54M (Peak 43.54M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_petiole.004
Fra:1 Mem:43.52M (Peak 43.54M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.024
Fra:1 Mem:43.56M (Peak 43.56M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_midrib.004
Fra:1 Mem:43.58M (Peak 43.58M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.032
Fra:1 Mem:43.62M (Peak 43.62M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.033
Fra:1 Mem:43.58M (Peak 43.62M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.025
Fra:1 Mem:43.58M (Peak 43.62M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.034
Fra:1 Mem:43.64M (Peak 43.64M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.027
Fra:1 Mem:43.63M (Peak 43.64M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.028
Fra:1 Mem:43.66M (Peak 43.66M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.035
Fra:1 Mem:43.68M (Peak 43.68M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.036
Fra:1 Mem:43.70M (Peak 43.70M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.037
Fra:1 Mem:43.69M (Peak 43.70M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.029
Fra:1 Mem:43.70M (Peak 43.70M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.038
Fra:1 Mem:43.68M (Peak 43.70M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.030
Fra:1 Mem:43.68M (Peak 43.70M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.039
Fra:1 Mem:43.76M (Peak 43.76M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_petiole.005
Fra:1 Mem:43.74M (Peak 43.76M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_midrib.005
Fra:1 Mem:43.76M (Peak 43.76M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.040
Fra:1 Mem:43.75M (Peak 43.76M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.032
Fra:1 Mem:43.79M (Peak 43.79M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.041
Fra:1 Mem:43.82M (Peak 43.82M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.042
Fra:1 Mem:43.83M (Peak 43.83M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.043
Fra:1 Mem:43.84M (Peak 43.84M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.044
Fra:1 Mem:43.84M (Peak 43.84M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.033
Fra:1 Mem:43.88M (Peak 43.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.045
Fra:1 Mem:43.86M (Peak 43.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.046
Fra:1 Mem:43.88M (Peak 43.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.047
Fra:1 Mem:43.88M (Peak 43.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_petiole.006
Fra:1 Mem:43.88M (Peak 43.88M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.034
Fra:1 Mem:43.89M (Peak 43.89M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_midrib.006
Fra:1 Mem:43.93M (Peak 43.93M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Drain_bridge.035
Fra:1 Mem:43.93M (Peak 43.93M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Leaf_blade_lateral_vein.048
