Blender 4.5.13 LTS (hash daeeeca98fb0 built 2026-08-25 01:31:19)
Read blend: "/home/runner/work/future/future/workspaces/skyfold-dock/output/r04/skyfold-r04.blend"
Fra:1 Mem:154.12M (Peak 154.12M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Continuous inhabited ring shell
Fra:1 Mem:154.12M (Peak 154.12M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Deep ring edge girder.001
Fra:1 Mem:155.56M (Peak 155.56M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ceramic edge cap
Fra:1 Mem:155.73M (Peak 155.73M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ceramic edge cap.001
Fra:1 Mem:157.25M (Peak 157.25M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | External axial backbone
Fra:1 Mem:157.34M (Peak 157.34M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | External axial backbone.004
Fra:1 Mem:157.34M (Peak 157.34M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sector seam
Fra:1 Mem:157.34M (Peak 157.34M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city transport corridor
Fra:1 Mem:157.84M (Peak 157.84M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city median
Fra:1 Mem:158.67M (Peak 158.67M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city transport corridor.001
Fra:1 Mem:159.16M (Peak 159.16M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city median.001
Fra:1 Mem:159.88M (Peak 159.88M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city transport corridor.002
Fra:1 Mem:160.54M (Peak 160.54M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city median.002
Fra:1 Mem:161.18M (Peak 161.18M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city transport corridor.003
Fra:1 Mem:161.96M (Peak 161.96M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city median.003
Fra:1 Mem:162.05M (Peak 162.05M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 inactive hoist cable
Fra:1 Mem:162.25M (Peak 162.25M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 inactive hoist cable.001
Fra:1 Mem:162.51M (Peak 162.51M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city transport corridor.004
Fra:1 Mem:163.17M (Peak 163.17M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | R02 city median.004
Fra:1 Mem:163.79M (Peak 163.79M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Aft engine shroud
