domain,dataset,mase_bridge,coverage80_bridge,width80_scaled_bridge,mase_clock_blind_control,coverage80_clock_blind_control,width80_scaled_clock_blind_control
electricity,electricity,1.5051635040203741,0.7239583333333334,4.63079528382325,5.467997974612555,0.3030960648148148,2.7590235443856748
traffic,traffic,0.920625804026754,0.8130787037037037,3.4815353044239266,2.51740403887239,0.31459780092592593,2.3010484450047577
transformer,ETTh1,1.4193391454290893,0.7859623015873015,5.092463732353818,2.214699232444797,0.42270171957671954,2.7998653299525067
transformer,ETTh2,1.4751261726826934,0.736276455026455,4.333813165271543,1.6967786827120401,0.5029761904761906,2.6228712833890975
weather,weather,1.0451811444243395,0.7316984953703703,3.3694448376767396,1.3400469698012945,0.4205729166666667,1.8802303472211925
