dataset,domain,family,rate,mase_native,mase_phase_filled,mase_persistence,mase_seasonal_last,mase_seasonal_median,mase_equal_ensemble,mase_gate_rate,mase_gate_uncertainty,mase_gate_full,mase_source_best_fixed,mase_oracle_pair,mase_replay_clean,mase_replay_matched,coverage80,width80_scaled,quantile_crossing
ETTh1,transformer,clean,0.0,0.9714634432091287,0.9714634432091287,1.9994841458334993,1.0924772793535678,1.2643770139735329,1.0574407317317642,0.9714634432091287,0.9714634432091287,1.0022653968839998,0.9714634432091287,0.8985781215644589,0.9714634432091287,0.9714634432091287,0.730406746031746,2.57952300927681,0.0
ETTh1,transformer,middle,0.125,0.9700670498354034,0.9560457932454207,1.9994841458334993,1.0924772793535678,1.2380949516300346,1.0474174617683247,0.9700670498354034,0.9700670498354034,1.0086565489311232,0.9700670498354034,0.8991722915712097,0.9700670498354034,0.9700670498354034,0.746031746031746,2.6841819055344582,0.0
ETTh1,transformer,middle,0.25,0.9571611063770847,0.9699819197169569,1.9994841458334993,1.0924772793535678,1.2336538956975684,1.0370019250198088,0.9571611063770847,0.9571611063770847,1.0113588805296785,0.9571611063770847,0.8871227094336961,0.9571611063770847,0.9571611063770847,0.7497519841269841,2.6116640479575417,0.0
ETTh1,transformer,middle,0.5,0.9614185668019695,0.9723635333260499,1.9994841458334993,1.0924772793535678,1.2090890219064558,1.0293219625026082,0.9614185668019695,0.9614185668019695,1.0164625602522168,0.9614185668019695,0.888484105986665,0.9614185668019695,0.9614185668019695,0.7576884920634921,2.605915467264529,0.0
ETTh1,transformer,random,0.125,1.0108278679801517,1.011680359306218,1.9945669580744472,1.1194344736614492,1.2739240622643486,1.0873882387342497,1.0108278679801517,1.0108278679801517,1.0415303177428692,1.0108278679801517,0.9299408160356128,1.0108278679801517,1.0108278679801517,0.7461970899470899,2.811495314948272,0.0
ETTh1,transformer,random,0.25,1.023088146200615,1.0581491839891901,2.0286191031763074,1.14041252029574,1.283801424817058,1.0970227029068937,1.023088146200615,1.023088146200615,1.0680818237714829,1.023088146200615,0.939397639361456,1.023088146200615,1.023088146200615,0.751901455026455,2.9531773495241884,0.0
ETTh1,transformer,random,0.5,1.088666244362133,1.1847199048690318,2.0864083738778514,1.2232106465609975,1.3064490115243006,1.1332142805316776,1.088666244362133,1.088666244362133,1.1417121756316921,1.088666244362133,0.9999688280054196,1.088666244362133,1.088666244362133,0.7523148148148149,3.1670849206055687,0.0
ETTh1,transformer,tail,0.125,1.2854444805930005,1.339483856046747,2.3644992427321094,1.3300025685598114,1.3371838321435197,1.28086467811584,1.2854444805930005,1.2854444805930005,1.2859137784344712,1.2854444805930005,1.145139682132664,1.3848116110112583,1.3483430611291392,0.675843253968254,3.2204940139485636,0.0
ETTh1,transformer,tail,0.25,1.4352817203170667,1.383087330215295,2.4427373271360935,1.6084885830380284,1.3875321417785256,1.3735940307703502,1.4352817203170667,1.4352817203170667,1.4098756657520504,1.4352817203170667,1.2518995472475896,1.4798676002716549,1.4385018857419443,0.6569940476190477,3.3432851018718446,0.0
ETTh1,transformer,tail,0.5,1.5487419612580784,1.4534064060115865,2.6089617754134973,1.6268131748121826,1.4591446800226149,1.4652490325312526,1.5487419612580784,1.5487419612580784,1.5471840392783738,1.5487419612580784,1.3387938551192644,1.51507474460282,1.5623123553690428,0.6765873015873016,3.6148724641859116,0.0
