domain,dataset,mase_bridge,coverage80_bridge,width80_scaled_bridge,mase_clock_blind_control,coverage80_clock_blind_control,width80_scaled_clock_blind_control
electricity,electricity,1.3862494903310514,0.6754195601851851,3.102335052179386,5.548242889816817,0.3462094907407407,3.083967233428757
traffic,traffic,0.7156621637699923,0.8150318287037037,1.9251476579768332,2.410035479439116,0.3674045138888889,2.0750021910464245
transformer,ETTh1,1.3875339148907377,0.6161541005291005,3.00686542921769,2.2209392681194537,0.4510582010582011,2.948904306652923
transformer,ETTh2,1.4173897284018169,0.5982969576719577,2.77761931013676,1.6959194527606865,0.5208333333333334,2.6743564037155987
weather,weather,1.0426457200505697,0.6548755787037037,2.2482720343143874,1.3691207112597528,0.46773726851851855,1.8967165008739186
