domain,dataset,mase_bridge,coverage80_bridge,width80_scaled_bridge,mase_clock_blind_control,coverage80_clock_blind_control,width80_scaled_clock_blind_control
electricity,electricity,1.413085380188688,0.7218605324074074,3.9697898590402527,5.490421479025959,0.3050491898148148,2.6729176661290595
traffic,traffic,0.656123542432378,0.8140914351851851,1.8850425212420179,2.3996868638385656,0.3250144675925926,1.6543611097783584
transformer,ETTh1,1.4509130164528912,0.7015542328042329,3.7849841299216416,2.213737255784054,0.39715608465608465,2.5385016960853615
transformer,ETTh2,1.5075816250613958,0.7065972222222222,3.890205065938907,1.712875586761695,0.4730489417989418,2.4427709157175777
weather,weather,1.038889871178563,0.7660590277777777,2.9568325732191703,1.3475938986932665,0.43583622685185186,1.7346692399589074
